game_name,subjectivity,polarity
Dungeons 3,0.7,0.4
Expedition Zero,0.534,0.509666667
VEGAS Movie Studio 13 Platinum - Steam Powered,0.3,0.65
Game of Love,0.333333333,0.625
Legends of Idleon MMO,0.5375,0.49375
RPG Maker 2003,0.36,0.443333334
No Parachute,0.53,0.51
Dungeon Painter Studio,0.5,0.625
Black Mesa,0.327272727,0.559090909
Endorlight,0.541688713,0.546946649
hack_me,0.435,0.43
Garfield Kart,0.473000541,0.491079546
Trine 4: The Nightmare Prince,0.611904762,0.714285715
Princess & Conquest,0.369813988,0.537154018
Subnautica,0.519444444,0.622916667
Icarus,0.602380952,0.520238095
Satisfactory,0.530952381,0.683928572
Sign of Silence,0.708333333,0.375
Witch It,0.425,0.5375
Vampire: The Masquerade - Bloodlines,0.583333333,0.558333334
Thorne - Son of Slaves (Ep.2),0.422597403,0.543157468
Reel Fishing: Road Trip Adventure,1,0.75
Call of Duty,0.579166667,0.447916667
my brother lives in a canyon,0.463865995,0.514457418
Trover Saves the Universe,0.6,0.85
A Princess' Tale,0.528333333,0.370555555
The Thrill of the Fight,0.483333333,0.583333333
Call of Duty 2,0.6,0.55
SQUAKE,0.568181818,0.581060606
PICO PARK,0.474441392,0.57952381
Euro Truck Simulator,0.674074074,0.548148148
闯关杀II,0.495238095,0.559226191
Call of Duty: United Offensive,0.446428571,0.510119048
Killing Floor Mod: Defence Alliance 2,0.708333333,0.5125
DiRT Rally 2.0,0.341666667,0.456111111
Eador. Masters of the Broken World,0.454545455,0.568181818
Deliver Us The Moon,0.496804871,0.536617406
Rising Storm/Red Orchestra 2 Multiplayer,0.88,0.405
Turing Complete,0.35,0.48125
Handball 17,0.8,0.775
The Ball,0.452142857,0.53375
RollerCoaster Tycoon 3: Platinum!,0.666666667,0.55
Romance of the Three Kingdoms XIII,0.429591837,0.597895408
Foundation,0.357142857,0.482142857
LEGO® Star Wars™: The Skywalker Saga,0.4,0.55
Heart's Medicine - Time to Heal,0.252380952,0.516666667
Killing Floor 2,0.566666667,0.6
Gas Station Simulator,0.47,0.71
Demeo - PC Edition,0.403627391,0.500824176
Vermillion,0.499206349,0.567380953
GrandChase,0.526984127,0.542857143
Seek Girl Ⅱ,0.55,0.558333334
Celestial Command,0.366666667,0.5875
SUCCUBUS,0.333333333,0.625
