game_name,scaled_rating
"Warhammer 40,000: Inquisitor - Martyr",0.591148341
TransRoad: USA,0.442694327
Holy Potatoes! A Weapon Shop?!,0.706317817
Tales from the Borderlands,0.947948354
Lords Of The Fallen,0.549005242
Cockroach Simulator,0.718046975
Gun Club VR,0.81485629
Far Cry 4,0.756112856
NVL,0.5353902
She and The Light Bearer,0.955968353
Foreign Legion: Buckets of Blood,0.577520072
Fireflies,0.123662815
SWAT 3: Tactical Game of the Year Edition,0.520090549
Zuma Deluxe,0.912354726
V-Rally 4,0.61588181
Stikbold!,0.859219915
The Adventures of Fei Duanmu 端木斐异闻录,0.925709009
POSTAL,0.800195277
Quantum Conundrum,0.825651084
Dead Rising 3,0.666784068
Broken Age,0.812777434
Office Space: Idle Profits,0.590255259
RPG Maker MV,0.863647124
The Red Solstice,0.701292016
Cat Quest,0.953758847
Peggle Deluxe,0.936770253
Dead Age,0.808246218
Fistful of Frags,0.897198152
The Adventure Pals,0.931951089
Stronghold Crusader 2,0.557296866
Clicker Heroes,0.887538752
Imagine Me,0.239553429
TrackMania² Stadium,0.816086401
Peggle Nights,0.931256713
NaissanceE,0.749849423
EMERGENCY 4 Deluxe,0.547960811
Worms Revolution,0.832846004
Lazy Galaxy,0.835686778
Aimtastic,0.950887778
12 Labours of Hercules IV: Mother Nature,0.865647023
Plants vs. Zombies: Game of the Year,0.966205623
Realm of the Mad God Exalt,0.811362676
Zuma's Revenge,0.932098064
Pantsu Hunter: Back to the 90s,0.707093822
Dungeon Rushers,0.671373556
Truberbrook,0.69722058
Batman: Arkham City GOTY,0.948289071
Tales of Berseria,0.924422383
GRIP: Combat Racing,0.883413549
Ylands,0.653797763
Sniper Elite,0.728306646
Winged Sakura: Mindy's Arc,0.859649123
Hexcells,0.959888644
Shadow Warrior,0.920508251
東周列萌志 Philosophic Love,0.93669634
Goat Simulator,0.874422756
Everlasting Summer,0.947299891
Bunny Hop League,0.685387967
AdventureQuest 3D,0.67175411
Broken Reality,0.982814179
ECCHI NEKO GIRLS PUZZLE,0.775438596
Psychonauts,0.940877598
LYNE,0.958542995
Pocket Kingdom,0.954171142
Far Cry® 3 Blood Dragon,0.866081372
Sid Meier's Civilization IV,0.904896844
XCOM: Enemy Unknown,0.939887961
Tennis World Tour,0.195096174
Total War: WARHAMMER,0.720655659
MURDERED: SOUL SUSPECT™,0.820547
Dragon Climax,0.906432749
ONE PIECE PIRATE WARRIORS 3,0.800638547
Sid Meier's Pirates!,0.92353502
Totally Accurate Battlegrounds,0.787608746
SYNTHETIK,0.916666667
Tower of Guns,0.800569185
Prey,0.879345517
Sudeki,0.837274346
Townopolis,0.607908661
Breach & Clear,0.801590051
Garry's Mod,0.951464176
Pyre,0.893335693
Darkness Within: In Pursuit of Loath Nolder,0.732516888
TT Isle of Man,0.65542599
The Elder Scrolls: Legends,0.684248134
A Kiss For The Petals - Remembering How We Met,0.917573702
Sabbat of the Witch,0.995706283
Prison Architect,0.924447743
DISSIDIA FINAL FANTASY NT Free Edition,0.305587045
Looterkings,0.756499683
Torchlight II,0.936964087
Twinsen's Little Big Adventure Classic,0.825771325
Sector 452,1
SimplePlanes,0.893939712
GameGuru,0.705388573
Warsim: The Realm of Aslona,0.966976264
AER Memories of Old,0.818510419
Calibre 10 Racing Series,0.379782791
The Void,0.799895779
Distance,0.926601884
Ninja Blade,0.595789474
The Jackbox Party Pack 2,0.93640739
Away,0.663157895
iRacing,0.822781305
Wander No More,0.88384755
Cave Story+,0.951729792
Surgeon Simulator,0.800393466
Booty Calls,0.398715367
Organ Trail: Director's Cut,0.870690514
Spin Rush,0.761035242
Valkyria Chronicles 4 Complete Edition,0.862099138
Dungeon Fighter Online,0.70641756
Undead Horde,0.931951089
Silverfall,0.565365026
Habitat,0.387559809
Shu,0.790521079
Operation: New Earth,0.440282388
Demon Hunter 5: Ascendance,0.693779904
Dino D-Day,0.817829584
Dungeon of Zolthan,0.73627091
Koi-Koi Japan [Hanafuda playing cards],0.926773456
Kenshi,0.876925301
S.T.A.L.K.E.R.: Shadow of Chernobyl,0.94487036
Full Spectrum Warrior,0.594166138
Guided Meditation VR,0.79271255
MXGP3 - The Official Motocross Videogame,0.760986625
MotoGP™17,0.655414398
Hacker Evolution,0.618295186
"Warhammer 40,000: Dawn of War - Game of the Year Edition",0.937334531
Hacker Evolution - Untold,0.51124871
"Warhammer 40,000: Dawn of War - Dark Crusade",0.949921753
Slap City,0.940656446
EverQuest II,0.692553272
LEGO® Worlds,0.73838434
Evoland Legendary Edition,0.862111418
Shenmue I & II,0.908428537
Injustice™ 2,0.771591198
Spriter Pro,0.765192449
Business Tour - Online Multiplayer Board Game,0.597754981
MidBoss,0.847444699
Age of Mythology: Extended Edition,0.837747029
Total War: MEDIEVAL II - Definitive Edition,0.937535793
Underworld Ascendant,0.225827125
Kona,0.811005776
Onward,0.877629063
Condemned: Criminal Origins,0.830505225
Clustertruck,0.890694218
Total War: WARHAMMER II,0.85001855
Heavy Burger,1
VVVVVV,0.956932548
Mad Max,0.893112743
SENRAN KAGURA Burst Re:Newal,0.836910712
Running Gods,0.688109162
Receiver,0.765096064
Fighting Fantasy Legends,0.612482534
Hunt: Showdown,0.713806189
Miscreated,0.647287389
Windosill,0.894659385
